JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary
novaPower BI | Apps | Automate Jr,Capgemini,"São Paulo, SP",há 6 dias,2021-10-18,"Se você compartilha dos mesmos valores, aqui é o seu lugar. Experiência com Power Automate, Power Apps, Power BI.",Não informado
Analista Sênior de Business Intelligence e Automação (CSC Ja...,Ambev,"Jaguariúna, SP",há 18 dias,2021-10-18,"Desenvolver o time e aumentar a maturidade da área para temas voltados à tecnologia, dados e automação. Vivência com metodologias ágeis (Scrum, Kanban e Lean);",Não informado
ANALISTA DE BUSINESS INTELLIGENCE - SÃO PAULO,OEmprego,"São Paulo, SP",há 30+ dias,2021-10-18,"Experiência em Business Intelligence (modelagem e design),Experiência em Power BI, Excel Avançado,Diferencial conhecer SQL, É um diferencial conseguir…",Não informado
novaRegional Logistics & Packaging Manager- LATAM,Cabot Corporation,"São Paulo, SP",há 2 dias,2021-10-18,"Participates in regular S&OP Calls, GDD Meetings and Quality Board Meetings to share market intelligence, continuously improve the supplier performance and…",Não informado
ANALISTA DE BI,Global TI,"São Paulo, SP",há 9 dias,2021-10-18,"A GLOBAL TI, desde 2001, vem atuando no mercado de Tecnologia da Informação prestando serviços de forma singular e personalizada para clientes de médio e…",Não informado
Pool de Talentos (Business Intelligence - Júnior),Rappi,"São Paulo, SP",há 30+ dias,2021-10-18,"Translate business issues into analytical terms. Build, manage, and sustain metrics and reports. Extract and manipulate large volumes of data.",Não informado
Assistente de BI Senior,Grupo Dass - Fila / Umbro,"São Paulo, SP",há 12 dias,2021-10-18,"Gerando relatório das informações para a análise dos dados. Excel Avançado (Trabalho com tipos de campos e variáveis, Trabalho com datas, Concatenar e…",R$ 3.000 - R$ 3.500 por mês
Analista de Business Intelligence Pleno,Creditas,"São Paulo, SP",há 30+ dias,2021-10-18,"Atuar na estruturação de problemas, análise de dados, e ajudará na tomada de decisão junto ao time executivo; Conhecimento em Phyton ou R pode ser diferencial;",Não informado
novaGerente Senior Operações External Supply,Pfizer,"Itapevi, SP",há 5 dias,2021-10-18,Maintain awareness and intelligence of potential new sourcing and business development opportunities and identify strategic sourcingpartners who share common…,Não informado
Gerente de Produtos (Product Manager),Gesto,"São Paulo, SP",há 20 dias,2021-10-18,"Coordenar o desenvolvimento de um ou mais produtos e sistemas, desenhando a experiência de nossos clientes externos e internos em soluções de business…",R$ 90 por dia
